Blog	work	platform	back	just	us	our	first	look	what	internet	could	web	design	came	two	there	stuff	text	page	maybe	some	nothing	often	like	or	keep	reading	take	video	had	check	yet	through	big	ideas	features	make	email	so	pixel	might	go	down	once	users	power	virus	trying	other	security	didn	quickly	would	apple	house	july	tech	years	ago	got	idea	google	microsoft	team	three	system	help	service	both	data	ll	working	john	simple	my	answer	lot	people	few	m	here	full	weeks	into	world	goes	without	say	product	thing	ever	do	been	course	possible	stay	point	global	future	re	history	amazon	since	started	things	ve	much	app	end	job	coming	real	black	lives	matter	today	important	doing	following	project	no	call	coronavirus	deal	week	hope	probably	until	next	she	told	now	never	clear	whether	something	else	version	having	any	own	need	president	know	mostly	fact	who	get	they	their	good	others	really	wouldn	want	day	especially	before	store	still	national	problem	bit	don	than	aren	going	long	high	isn	best	case	trump	his	away	health	words	start	will	if	he	inside	outside	government	fear	white	food	give	least	use	line	care	process	very	hand	looks	said	added	should	against	either	up	st	ones	means	doesn	see	state	city	where	couple	days	spend	space	around	country	then	home	morning	night	school	year	latest	someone	multiple	tell	took	results	those	happy	hour	early	thousands	many	media	better	even	likely	think	always	quite	were	am	taking	between	me	has	covid	after	d	c	also	recent	well	went	only	american	news	public	let	because	though	wasn	being	sure	states	bad	different	seen	why	enough	major	them	off	when	friday	another	actually	gets	march	time	social	companies	second	post	its	continue	given	twitter	too	play	while	getting	together	youtube	months	read	most	which	shows	become	business	built	pandemic	company	opportunity	china	already	under	nearly	open	smart	support	april	same	these	past	comes	save	easy	kind	story	america	hard	less	must	watch	issues	please	needs	facebook	run	hours	over	did	last	pretty	great	review	won	write	list	art	such	stories	change	appeared	little	currently	online	including	called	her	life	name	way	understanding	york	person	united	number	digital	does	group	students	learn	content	thinking	saw	set	five	love	times	third	leave	put	turned	true	live	apps	phone	services	used	show	longer	release	blog	top	site	later	across	link	every	using	b	says	each	based	may	chrome	via	find	feel	free	create	add	place	user	single	made	anyone	right	friends	small	feature	search	click	several	links	come	left	question	photo	game	seem	makes	changes	view	try	tools	cost	share	old	building	found	however	part	value	everything	looking	th	key	report	understand	human	mean	ways	monday	seems	reports	u	recently	information	science	close	million	family	sale	face	music	according	almost	includes	update	hands	private	computer	higher	price	month	photos	image	personal	safety	available	done	soon	order	com	talk	videos	performance	network	rules	federal	mind	along	rest	able	event	rights	break	far	control	community	response	example	published	turn	finally	instead	making	ad	offer	stop	due	large	move	products	during	entire	focus	takes	local	everyone	short	thought	self	spent	book	light	among	money	man	readers	again	police	result	written	whole	six	him	buy	wrote	writing	age	tiktok	lack	e	article	children	four
Power LinePower Line	0	0	0	0	0	0	0	1	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	1	1	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
O'Reilly Radar	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	2	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	4	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	10	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10
pharyngula	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	1	3	4	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	1	2	0	0	2	4	0	0	1	0	0	0	0	2	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	2	6	3	0	0	0	0	1	0	0	1	0	0	0	0	1	2	1	1	2	2	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	3	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	2	1	0	0	0	6	1	0	1	0	0	3	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	4	19	1	1	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0
c9ba4a5e-d5d4-11ea-8ac8-f218987b58f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seth's Blog	0	0	1	3	3	0	0	0	5	2	0	0	0	0	1	0	0	0	0	0	4	1	2	0	5	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	2	0	2	0	0	3	0	0	1	2	5	0	1	0	2	0	6	1	0	1	0	0	0	0	4	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	3	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	1	1	0	0	0	3	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	2	0	8	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	6	0	0	0	0	0	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Slashdot	1	3	2	2	1	2	7	0	4	4	4	2	1	1	7	6	0	0	0	0	3	1	0	7	4	0	2	3	3	1	3	0	3	0	0	3	3	0	2	19	2	0	3	0	2	1	2	0	6	11	1	1	3	6	1	4	0	2	2	0	0	10	11	0	3	0	2	4	2	2	2	1	0	0	0	0	0	6	0	1	0	1	0	3	6	0	2	3	2	0	1	2	13	0	0	1	3	3	0	2	1	1	6	0	1	0	0	7	4	0	2	2	1	0	0	4	0	0	0	0	2	0	2	2	0	1	0	0	1	0	3	8	2	2	0	0	0	1	0	1	0	0	3	0	0	2	7	3	3	4	0	1	0	0	0	3	0	3	0	0	3	0	0	0	8	0	0	2	1	0	1	0	9	3	1	2	0	1	20	2	3	1	0	11	0	0	0	1	2	2	0	0	1	1	2	1	14	0	4	2	0	4	0	0	1	1	1	2	0	1	0	2	0	0	1	4	3	5	1	2	0	10	0	0	0	0	1	0	3	0	0	0	0	0	3	1	5	1	1	1	0	4	0	1	4	0	27	5	12	2	0	9	1	2	0	4	4	2	4	1	1	2	1	0	0	3	0	1	1	0	0	0	3	1	5	1	3	0	1	4	4	4	4	4	3	14	0	1	3	1	0	4	0	1	0	3	15	4	10	0	2	2	0	0	11	0	4	2	2	2	1	0	1	2	3	2	0	2	1	0	0	15	0	0	1	0	0	0	0	0	7	0	0	7	2	4	0	1	0	0	0	0	0	2	0	1	1	0	0	1	2	0	0	0	0	2	0	0	0	4	3	0	1	0	0	0	3	0	0	0	3	0	1	0	0	0	0	0	2	2	0	1	6	0	0	1	2	2	0	1	1	0	1	3	0	4	1	1	7	3	0	0	0	3	0	0	1	2	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	1	0	0	1	6	0	0	0	2	1	0	0	0	1	1	12	0	0	0	1	5	0	4	9	1	2	0	3	10	0	2	1	0	8	1	1	0	1	4	0	1	0	4	0	0	2	1	5	0	0	2	0	1	1	0	3	1	2	0	0	0	1	0	0	0	2	0	0	0	0	2	1	1	0	0	0	0	1	2	0	0	4	1	0	2	0	0	0	0	1	0	0	0	0	2	1	0	1	0	1	0	0	1	1	0	2	2	0	0	14	0	0	1	0	2
cc4a4058-d5d4-11ea-8ac8-f218987b58f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Dish	3	0	3	4	3	6	4	3	9	3	1	0	0	0	1	3	0	0	0	1	1	2	2	0	3	1	35	1	0	4	0	1	4	2	1	0	2	4	6	0	1	3	1	0	0	0	0	0	2	0	3	0	1	0	2	0	0	12	2	0	3	0	0	0	1	1	0	0	0	0	3	0	1	2	17	1	0	5	0	1	2	0	0	1	8	0	2	1	0	1	0	4	6	0	1	0	0	0	0	2	1	0	2	1	3	3	2	0	3	1	0	1	0	0	0	1	0	1	2	0	6	0	0	0	1	4	2	0	1	1	1	2	2	0	0	0	1	0	0	1	1	0	1	7	1	1	5	2	8	7	0	1	0	0	1	12	0	1	0	2	0	1	0	4	4	0	2	7	1	1	0	1	0	11	0	1	4	0	6	2	3	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	4	0	4	1	1	7	0	0	0	1	0	0	0	0	0	0	0	0	5	0	7	1	2	0	0	3	3	0	0	0	1	1	3	0	0	1	2	3	0	2	5	2	1	1	1	1	2	1	1	11	8	0	2	1	0	0	1	1	1	3	0	2	1	0	1	1	0	0	0	0	1	1	0	5	1	0	0	0	5	0	2	0	0	0	6	0	0	0	4	0	33	0	0	1	0	0	0	0	0	0	11	5	2	1	2	0	0	0	0	0	0	0	2	0	2	0	2	0	2	5	3	0	0	0	0	4	2	1	1	0	0	0	3	0	0	0	0	3	2	3	0	0	0	1	0	0	1	0	0	0	0	2	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	2	0	0	0	1	7	1	0	1	0	0	0	1	0	0	0	0	0	0	0	6	0	2	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	2	2	0	1	0	0	0	0	0	1	0	0	2	2	2	1	0	0	2	0	0	0	0	3	0	1	1	3	0	0	2	0	1	0	1	0	0	0	0	0	0	3	4	0	1	1	1	0	0	3	0	2	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	3	4	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	1	0	0	4	2	0	0	4	0	0	1	1	9	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0
WIL WHEATON dot NET	5	0	3	12	13	16	3	0	7	0	6	0	0	2	2	7	1	1	0	3	3	3	0	14	12	4	1	3	1	9	0	3	6	0	0	0	15	0	31	0	0	5	1	0	0	0	2	0	17	0	5	0	6	0	2	0	0	2	6	4	0	0	0	0	1	0	0	1	0	0	2	7	0	1	61	1	3	9	1	23	4	1	3	7	4	1	2	2	0	7	1	12	12	0	1	4	3	0	0	9	1	0	3	2	6	7	5	0	1	2	1	3	2	2	0	5	3	4	1	1	5	2	0	2	3	1	1	5	0	0	0	7	14	1	0	5	2	0	2	3	5	2	0	9	1	0	16	9	18	10	7	0	7	0	9	20	2	1	1	3	0	0	2	11	4	4	12	3	2	0	2	0	0	12	4	0	0	1	2	9	17	0	2	0	2	0	0	4	0	1	0	5	1	2	0	0	0	0	4	1	0	5	0	0	4	3	7	0	0	3	0	1	2	1	5	0	1	3	0	1	4	1	0	0	0	1	2	0	2	2	1	1	0	1	1	1	4	0	0	2	0	5	13	0	1	43	5	2	2	4	0	2	0	0	3	4	0	0	5	4	12	1	3	5	2	0	0	0	0	0	0	0	11	1	18	0	1	2	0	0	20	0	0	6	0	2	0	2	0	3	4	3	1	11	0	1	4	4	3	0	0	0	2	1	1	0	0	0	0	0	1	0	1	0	5	2	1	1	0	0	2	2	0	7	0	0	0	0	6	0	0	1	4	1	8	1	1	1	0	0	1	0	5	1	3	0	0	5	0	1	2	3	0	6	0	9	0	0	2	0	0	0	1	0	0	2	1	0	0	5	2	12	0	0	3	1	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	1	8	2	0	0	17	0	2	0	0	4	9	2	0	0	1	0	2	7	2	5	1	4	0	0	0	3	0	4	0	5	0	13	0	2	0	1	1	0	1	2	0	2	2	1	1	0	2	1	0	2	0	1	0	1	2	0	1	0	0	0	0	2	2	0	5	0	0	1	0	2	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	2	0	0	1	0	2	0	0	4	0	1	0	0	0	2	0	1	3	8	0	0	2	0	0	0	0	3	2	2	0	0	4	4	1	1	2	0	0	0	2	9	0	2	0	0	0	5	6	3	0	0	0	0	0	0	0	0	3	1
43 Folders	59	0	25	70	21	35	29	5	73	3	24	10	10	1	10	33	27	4	4	14	28	7	19	68	105	10	13	10	14	26	2	6	7	25	3	2	45	11	75	0	16	21	9	4	5	7	0	10	22	0	8	2	20	1	2	0	0	16	3	2	6	2	0	2	3	4	30	3	8	3	37	7	15	7	188	2	39	54	13	47	28	7	1	21	13	10	12	21	4	33	26	74	31	2	5	6	21	0	8	48	0	1	5	2	55	40	37	8	7	19	1	19	1	2	8	13	13	16	2	3	37	3	0	2	11	20	8	15	3	29	6	41	26	7	14	23	7	3	11	38	13	21	0	40	8	9	70	50	48	19	26	4	77	4	26	16	8	13	0	20	0	15	7	46	36	4	7	21	0	0	14	3	0	28	7	2	1	11	53	59	39	2	5	0	3	0	1	4	11	11	3	27	2	29	3	3	14	0	16	4	7	45	0	2	11	18	18	0	0	20	7	7	2	1	10	0	25	6	7	5	0	14	0	7	0	17	2	2	27	6	4	4	2	20	2	27	50	4	31	20	5	16	14	1	3	82	28	0	10	45	0	27	2	24	2	22	2	1	1	17	57	2	2	17	10	0	6	7	1	32	15	4	22	13	30	2	10	14	13	2	46	1	2	8	2	9	4	3	4	14	6	10	11	3	0	4	43	41	45	0	12	8	2	0	2	3	0	13	20	5	4	4	3	3	9	24	8	5	2	5	9	6	1	16	16	1	6	0	16	4	1	6	4	29	13	13	11	14	1	10	3	3	3	6	2	13	0	28	1	1	8	3	17	32	3	36	7	1	8	0	9	0	5	0	2	11	1	5	1	3	4	15	3	2	5	3	3	9	8	5	1	3	6	4	1	0	5	2	2	5	0	2	12	8	6	13	13	2	15	0	1	10	7	8	0	1	7	0	6	28	14	24	5	2	1	0	2	2	2	5	2	3	2	2	4	5	4	4	18	5	0	4	10	3	1	1	17	3	12	2	1	2	0	14	4	7	5	1	2	0	0	1	6	0	2	0	4	0	5	0	0	13	1	4	4	4	0	0	5	2	0	0	4	1	5	10	5	8	17	22	0	1	4	2	0	7	1	0	1	4	0	5	7	3	0	1	0	1	5	6	4	11	1	2	11	2	3	1	0	2	1	3	4	0	8	3	10	9	2	25	1	2	5	7	2	10	0	2	16	4	4	12	5	2	4	0	0	2	3	4	1	5
456 Berea Street	4	0	2	19	1	0	4	16	16	0	8	4	2	1	2	21	0	22	10	0	16	3	4	23	51	2	2	4	0	1	7	3	1	1	0	2	22	0	29	3	0	4	7	2	8	0	0	1	10	0	1	0	8	0	0	0	0	2	2	0	2	1	1	0	3	0	2	0	6	11	2	1	0	3	21	0	3	7	2	2	12	6	0	6	0	0	8	2	0	16	2	23	4	4	2	0	0	0	1	5	0	0	12	0	4	10	3	0	2	0	0	0	3	0	1	0	3	3	3	0	25	1	0	2	0	1	4	2	2	0	0	5	19	0	4	6	3	5	6	12	1	19	0	5	2	1	3	11	10	5	5	1	10	0	25	0	1	29	1	3	0	18	8	22	19	0	1	3	0	7	1	14	0	0	1	0	0	1	32	55	0	6	1	0	0	2	0	3	7	49	15	0	4	7	1	3	0	3	5	0	1	6	0	2	4	11	19	0	0	4	4	0	0	19	1	0	7	1	0	0	0	1	2	0	3	3	0	2	2	1	0	1	0	11	12	2	9	3	8	25	2	3	1	0	1	12	19	0	23	6	0	9	1	9	0	16	0	1	0	3	3	2	1	5	4	1	0	8	1	3	2	1	11	2	27	0	4	6	6	0	5	0	0	3	5	18	0	5	0	7	0	8	1	0	0	0	0	13	19	0	0	0	0	0	0	0	0	4	0	0	5	0	17	0	11	4	0	1	3	5	2	0	0	0	3	0	1	1	0	4	0	4	0	5	1	0	4	1	0	5	1	20	0	1	0	2	0	2	4	0	0	0	0	0	6	7	1	0	0	0	5	0	14	0	0	1	20	1	0	8	0	0	1	1	0	3	1	10	0	0	0	0	14	0	3	0	0	13	6	0	0	13	3	13	0	4	6	3	24	3	3	9	2	1	1	7	1	4	4	0	2	3	0	4	3	0	3	3	14	1	3	0	0	0	0	7	4	0	1	4	1	1	3	1	3	4	1	7	0	2	0	1	4	5	0	2	6	0	3	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	36	1	0	1	1	0	2	1	0	0	2	0	5	0	0	2	0	4	0	0	0	3	3	0	0	14	0	0	2	6	5	0	0	3	3	2	1	0	0	10	15	2	0	0	2	2	0	0	0	0	0	0	0	5	3	0	6	2	1	2	0	0	2	2	0	0	2	8	0	1	0
